statistic,brightness_mean,dark_pixel_fraction,contrast_std,sharpness_laplacian_var
count,20513.0,20513.0,20513.0,20513.0
mean,146.42080475520402,0.05994080297298652,36.783200334416144,65.26538742374626
std,29.798364720467625,0.14982260313144805,20.28852930261918,124.35615559743957
min,32.365699768066406,0.0,5.403518925583199,1.9738216400146484
25%,132.6641206741333,0.0,21.47981533597242,21.811210624639898
50%,150.1980447769165,8.518518518518518e-05,31.401118190107198,36.07819753611602
75%,166.43464444444444,0.015406608581542969,46.699533070278676,65.41646236377228
max,239.5814697265625,0.7089115611293859,105.91851432362826,3825.0245797914813
