val_pr_auc,val_roc_auc,threshold,accuracy,cancer_precision,cancer_recall,specificity,cancer_f1,false_positives,false_negatives,TP,TN,FP,FN,selected
0.9018,0.92952,0.65,0.86288,0.84645,0.77353,0.91622,0.80835,158,255,871,1728,158,255,
0.9018,0.92952,0.66,0.86355,0.85083,0.76998,0.91941,0.80839,152,259,867,1734,152,259,
0.9018,0.92952,0.67,0.86388,0.85446,0.76643,0.92206,0.80805,147,263,863,1739,147,263,
0.9018,0.92952,0.68,0.86255,0.85458,0.76199,0.92259,0.80563,146,268,858,1740,146,268,
0.9018,0.92952,0.69,0.86023,0.85356,0.75577,0.92259,0.8017,146,275,851,1740,146,275,
0.9018,0.92952,0.7,0.86122,0.85685,0.75488,0.92471,0.80264,142,276,850,1744,142,276,
0.9018,0.92952,0.71,0.86023,0.8586,0.74956,0.9263,0.80038,139,282,844,1747,139,282,
0.9018,0.92952,0.72,0.86089,0.86256,0.74689,0.92895,0.80057,134,285,841,1752,134,285,
0.9018,0.92952,0.73,0.86189,0.86826,0.74334,0.93266,0.80096,127,289,837,1759,127,289,
0.9018,0.92952,0.74,0.86122,0.87107,0.73801,0.93478,0.79904,123,295,831,1763,123,295,
0.9018,0.92952,0.75,0.86155,0.87593,0.73357,0.93796,0.79845,117,300,826,1769,117,300,
0.9018,0.92952,0.76,0.86255,0.88116,0.73091,0.94115,0.79903,111,303,823,1775,111,303,
0.9018,0.92952,0.77,0.86355,0.88649,0.72824,0.94433,0.79961,105,306,820,1781,105,306,
0.9018,0.92952,0.78,0.86189,0.8884,0.72114,0.94592,0.79608,102,314,812,1784,102,314,
0.9018,0.92952,0.79,0.86089,0.88975,0.7167,0.94698,0.7939,100,319,807,1786,100,319,
0.9018,0.92952,0.8,0.86222,0.89721,0.71314,0.95122,0.79466,92,323,803,1794,92,323,
0.9018,0.92952,0.81,0.86056,0.89842,0.70693,0.95228,0.79125,90,330,796,1796,90,330,
0.9018,0.92952,0.82,0.86089,0.90216,0.70426,0.9544,0.79102,86,333,793,1800,86,333,
0.9018,0.92952,0.83,0.85956,0.9073,0.69538,0.95758,0.78733,80,343,783,1806,80,343,
0.9018,0.92952,0.84,0.85823,0.90973,0.68917,0.95917,0.78423,77,350,776,1809,77,350,
0.9018,0.92952,0.85,0.85657,0.91211,0.68206,0.96076,0.78049,74,358,768,1812,74,358,
0.9018,0.92952,0.86,0.85591,0.91587,0.67673,0.96288,0.77835,70,364,762,1816,70,364,
0.9018,0.92952,0.87,0.85591,0.9199,0.67318,0.96501,0.77744,66,368,758,1820,66,368,
0.9018,0.92952,0.88,0.85359,0.92232,0.6643,0.9666,0.77233,63,378,748,1823,63,378,
0.9018,0.92952,0.89,0.85193,0.92394,0.65808,0.96766,0.76867,61,385,741,1825,61,385,
0.9018,0.92952,0.9,0.84794,0.92602,0.64476,0.96925,0.76021,58,400,726,1828,58,400,
0.9018,0.92952,0.91,0.84761,0.93256,0.63854,0.97243,0.75804,52,407,719,1834,52,407,
0.9018,0.92952,0.92,0.84628,0.94024,0.62877,0.97614,0.75359,45,418,708,1841,45,418,
0.9018,0.92952,0.93,0.84363,0.94317,0.61901,0.97773,0.74745,42,429,697,1844,42,429,
0.9018,0.92952,0.94,0.83964,0.94591,0.60568,0.97932,0.73849,39,444,682,1847,39,444,
0.9018,0.92952,0.95,0.83367,0.94707,0.58792,0.98038,0.72548,37,464,662,1849,37,464,
0.9018,0.92952,0.96,0.83001,0.95015,0.57549,0.98197,0.71681,34,478,648,1852,34,478,
0.9018,0.92952,0.97,0.82271,0.95399,0.5524,0.98409,0.69966,30,504,622,1856,30,504,
0.9018,0.92952,0.98,0.81375,0.96085,0.52309,0.98727,0.6774,24,537,589,1862,24,537,
0.9018,0.92952,0.99,0.79084,0.96617,0.45648,0.99046,0.62002,18,612,514,1868,18,612,
